Subject	Course Number	Description
AAS	1100	This interdisciplinary course offers an introduction to the study of Asian/Pacific Islanders in the U.S. This course will examine, through a range of disciplines (including history, literary studies,&amp;amp;nbsp;film/media, performance, anthropology, sociology), issues and methods that have emerged from Asian American Studies since its inception in the late 1960s, including the types of research questions and methods that the study of Asians &amp;amp; Pacific Islander peoples in the U.S. as well as politics and historical relations in the Asia/Pacific region have to offer. In this course, we will pay particular attention to the role of culture and its production in documenting histories, formulating critical practices, and galvanizing political efforts. Topics and themes include: war &amp;amp; empire; queer &amp;amp; feminist lives and histories; refugee, adoptees, transnational families, and other forms of kinship &amp;amp; belonging; anti-Asian violence; settler colonialism and postcolonial critique.
AAS	2620	This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities.
AAS	3030	The common perception of ethnicity is that it is a natural and an inevitable consequence of cultural difference. Asians overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the Asians? On what basis can we label Asians an ethnic group? Although there is a significant Asian presence in the Caribbean, the category Asian itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States.
AAS	4020	This course examines the history and afterlives of U.S. war and empire across the Asia/Pacific region and the politics they engender for Asian/Pacific Americans. Since the Philippine American war (1898-1904), the overthrow of Queen Liliuokalani&#039;s monarchy (1893) and the subsequent annexation of the Hawaiian Islands (1898), the 20th century has been constituted by U.S. wars and colonial conquests across the Asia/Pacific region. From South Korea to Vietnam, Japan to Cambodia, Laos to Okinawa, U.S. presence has been felt in &quot;hot wars&quot; as well as Cold War discourse, in the U.S. military-industrial complex and its socio-political, cultural and environmental impact within the region. Reckoning with this global U.S. history, students will better understand Asian/Pacific Islander racialization in the U.S. At the same time, we will reckon with Black, indigenous, and Latinx racialization through and against U.S. wars and militarism in Asia. Course themes include: critical refugee studies, U.S. militarism &amp;amp; gender, settler colonialism, transpacific critique, the politics of memory and post-memory.
AAS	4550	What is a university, what does it do, and how does it do it? Moving out from these more general questions, this seminar will focus on a more specific set of questions concerning the place of race within the university. What kinds of knowledge are produced in the 20th- century U.S. university? Why is it, and how is it, that certain knowledge formations and disciplines come to be naturalized or privileged within the academy? How has the emergence of fields of inquiry such as Ethnic Studies (with an epistemological platform built on the articulations of race, class and gender) brought to the fore (if not brought to crisis) some of the more vexing questions that strike at the core of the idea of the university as the pre-eminent site of disinterested knowledge? This seminar will give students the opportunity to examine American higher education&#039;s (particularly its major research institutions) historical instantiation of the relations amongst knowledge, power, equality and democracy.
AAS	4950	Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.
AAS	6020	This course examines the history and afterlives of U.S. war and empire across the Asia/Pacific region and the politics they engender for Asian/Pacific Americans. Since the Philippine American war (1898-1904), the overthrow of Queen Liliuokalani&#039;s monarchy (1893) and the subsequent annexation of the Hawaiian Islands (1898), the 20th century has been constituted by U.S. wars and colonial conquests across the Asia/Pacific region. From South Korea to Vietnam, Japan to Cambodia, Laos to Okinawa, U.S. presence has been felt in &quot;hot wars&quot; as well as Cold War discourse, in the U.S. military-industrial complex and its socio-political, cultural and environmental impact within the region. Reckoning with this global U.S. history, students will better understand Asian/Pacific Islander racialization in the U.S. At the same time, we will reckon with Black, indigenous, and Latinx racialization through and against U.S. wars and militarism in Asia. Course themes include: critical refugee studies, U.S. militarism &amp;amp; gender, settler colonialism, transpacific critique, the politics of memory and post-memory.
AEM	1200	Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project.
AEM	1500	This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include &quot;individual hand&quot; concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources.
AEM	1700	Dyson Leadership Development provides a rich, varied, curricular and co-curricular experience for students to equip, inspire and empower students to have the capacity to lead in their communities on a local, national and global scale. Leadership is a personal, relational, and collective learning journey for achieving goals that result in positive change. The basic premise of Leadership in Dyson is leading for a better world. The foundations of this course include self-awareness, personal development, self-management, team building, networking, and community engagement. This introductory course is geared towards students in the Leadership minor.
AEM	2000	This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyers and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content.
AEM	2010	This course will place a strong emphasis on applied decision making in the business world using Excel as a business analytics tool. This is not just a &quot;how to use Excel&quot; course. We will cover the theory behind our decisions and apply the tools and methods to various business scenarios throughout the semester. Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business. Students dedicated to success in this course can expect to achieve an intermediate to advanced knowledge of business analytic skills and Excel. Students will enjoy a thorough exposure to real world applications and learn to demonstrate these new capabilities in a business environment. AEM 2010 will help students understand the dynamics of using Excel to solve optimization problems, forecast future outcomes using assumptions and projections, and evaluate problems that involve uncertainty in order to inform business strategy and quantitative decision-making. In business analytic vernacular, students will learn to leverage descriptive, predictive and prescriptive analytic methods using data. The course also covers Text Management and Analytics.
AEM	2015	Diversity is everywhere. But research and experience show diversity alone does not produce better results. To reap the benefits of diversity, organizational leaders must understand and be prepared to address the challenges of our diverse, interconnected world. One academically proven way to maximize the benefits differences bring to organizations is to combine diversity with cultural intelligence (CQ), the capability to relate and work effectively in culturally diverse situations. This course is designed to cultivate a theoretical and practical understanding and application of the business case for diversity and inclusion, and help develop cultural intelligence for working successfully in today&#039;s diverse, globalized reality. This course combines conceptual and experiential approaches to diversity and inclusion in organizations through exercises, case studies, discussions, readings, videos, guest speakers, and group work.
AEM	2020	Effective judgments and decisions are critical to success in every avenue of life. This course will explore research on the principles of sound judgment and decision making, and on the ways in which people&#039;s judgments and decisions are prone to bias and error. The course aims to improve students&#039; critical thinking skills and to enable them to make better judgments and decisions in an increasingly complicated world. The course is taught by a team of psychologists and economists who draw on recent research in psychology and behavioral economics that can benefit the lives of students.
AEM	2025	What is the good life? Is it more than personal achievement, excellent health, and contentment? This course examines well-being in the context of work, with a focus on a sometimes-neglected aspect of the good life: doing good by contributing to the well-being of others and the planet. In this class, students will discover frameworks from social and moral psychology that help them identify their own ethical beacons, or what &quot;really matters&quot; (e.g., sustainability; reducing inequality), and develop a crucial skill in management: self-awareness. Through a combination of reflection and critical analysis of theory and research findings, students will build a practical understanding of a range of topics related to well-being at work, including meaning, authenticity, workplace culture, stress and burn-out, and organizational and personal values. At the same time, students will have the opportunity to envision a blueprint for their own future work as ethical leaders.
AEM	2050	Introductory course which provides an overview of principles and practices of agricultural and development finance, from the perspectives of the business owner, lender, and policymaker. Topics include sources of capital, financing entry into agriculture, financial analysis, capital management, financial statements, credit instruments, loan analysis, and financial risk. Applications in farm investments, the Farm Credit System, crop insurance, and risk management.
AEM	2210	Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments.
AEM	2220	This course aims to introduce students to foundational theories and contemporary issues pertaining to entrepreneurship. A primary objective of this course is to broaden students&#039; perspectives on entrepreneurship and the myriad ways that entrepreneurial activity contributes to innovation, economic growth, and society. Students will be introduced to foundational thinking, leading-edge research and key frameworks that address central questions of entrepreneurship. In addition, this course will help students develop a deeper understanding of their own interest in entrepreneurship and how it will help them to advance their careers.
AEM	2225	Comprehensive introduction to financial accounting concepts and applications. Focuses primarily on recording and communicating financial information for use by external users such as investors, creditors and regulators, and is intended to provide a basic understanding of the accounting cycle, elements of financial statements, Generally Accepted Accounting Principles, and financial statement interpretation. Topics include accounting for inventory, receivables, depreciation, bonds, equity, and cash flows.
AEM	2240	Focuses on the mathematics of finance, valuation, and the economics of managerial decisions, corporate financial policy, risk management, and investments. Topics include the time value of money, bond and stock valuation, capital-budgeting decisions, financing alternatives, the cost of capital and the capital-structure decision, distribution policy, mergers and acquisitions and restructuring, options, forward and futures contracts, market efficiency and market anomalies, strategies of successful investors, and personal finance.
AEM	2241	This course is a survey of topics in finance. It focuses on the mathematics of finance, valuation, the economics of managerial decisions, corporate financial policy, risk management, investments, and personal finance.
AEM	2300	One-semester introduction to international economic principles and issues. Begins by surveying key topics such as the elements of comparative advantage, tariff and nontariff barriers, and multilateral institutions. The second part of the course treats selected topics in international finance, including exchange rates, balance of payments, and capital markets. Discusses current issues such as the effects of trade liberalization, trade and economic growth, and instability in international capital markets. Designed as a less technical introduction to concepts developed at a more advanced level in AEM 4300 and ECON 4510-ECON 4520.
AEM	2310	This course will examine the food system from an economic and business perspective. In the first part of the course, students will study the key economic and regulatory elements that affect the production of food. The second section will focus on the business aspects of food and beverage processing, distribution and retailing, and the material in the final section will focus on a range of contemporary business and economic issues that are relevant to consumers of food and beverages.
AEM	2420	Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization&#039;s strategic marketing program, including targeting and positioning, and how to price, promote, and distribute goods and services. Marketing applications from various companies are presented and analyzed via multiple case discussions and field projects.
AEM	2480	Covers merchandising principles and practices as they apply to food industry situations. Examines the various elements of merchandising such as buying, pricing, advertising, promotion, display, store layout, profit planning and control, and merchandising strategy. Considers the consequences of food industry trends and initiatives for other industry members, public policy makers, and consumers.
AEM	2601	This course analyzes the sources of firms&#039; competitive advantage and develops the knowledge and skills necessary to be an effective strategy analyst. The course is grounded in microeconomic concepts taught in AEM 2600 in terms of discipline, and draws from corporate finance, marketing, human resource management and organization science. This course uses both lecture, discussion and case studies to encourage students to develop skills in formulating strategy in a practical context.
AEM	2700	Management Communication is intended to help you think strategically about communication and aid you in improving your writing, presentation, and interpersonal communication skills as a future manager. We will look at a set of &quot;best practices&quot; or guidelines that have been derived from both research and experience, give you the opportunity to put those guidelines into practice, and provide you with feedback on your work to help you strengthen your abilities. More often than not, we will be using a workshop format that will rely heavily on discussion and in-class exercises.
AEM	2810	This writing course is designed to explore the important but largely undocumented role of vice and corruption in modern economies. A particular focus of the course will be learning how to identify activities, such as corruption and creating, that are designed to avoid detection. Techniques to uncover nefarious behavior are an important tool to understand the nature and extent of bad behavior and to prescribe policy treatment to minimize it. Students will write essays reflecting critically on weekly readings of recent literature on vice and deception.
AEM	2830	AEM
